0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.181081148893387694e-03,1.062503253242240127e-03,1.155522912793523031e-03,1.059590601605938254e-03,1.138214984888663486e-03,1.163472533211877026e-03,1.013956955280027276e-03,1.028789037577597723e-03,1.156399210053981382e-03,1.204981113269231385e-03,1.176501761244939416e-03,1.241025437807017620e-03,1.347488468066803183e-03,1.114161866228070407e-03,1.094301521231445373e-03,1.122541440748987557e-03,1.160233621467611845e-03,1.062498528235492502e-03,1.186967945172063806e-03,1.081557246636302445e-03,1.266791039004723247e-03,1.144927402665317333e-03,4.172829540924426206e-03,1.055912790300269667e-03,1.042852256616059927e-03,1.140225540360998487e-03,1.113091630705128178e-03,1.070775871437246521e-03,1.176769308377192957e-03,1.092536907037786314e-03,1.141611567830633266e-03,1.171087563319837951e-03
1.007283259109311574e-03,9.376582586336029918e-04,1.005967999726720651e-03,9.282219406443995187e-04,9.342398492037777297e-04,9.474948288663966392e-04,9.489534886808360242e-04,9.215272906072870425e-04,9.794000202159246996e-04,9.970401768218625262e-04,9.340128943623483013e-04,9.664768735998649409e-04,9.568342510762490325e-04,9.351538135627528473e-04,9.471907990080965459e-04,9.787186796255059953e-04,9.543273934109311506e-04,9.521238597705796326e-04,9.760001441767877841e-04,9.624206194804314340e-04,9.573655238022939174e-04,9.325000724257756154e-04,9.894289822098517422e-04,9.272944477901485507e-04,9.372843612786777977e-04,9.759468583029694928e-04,9.180232917746287795e-04,9.352675490654520016e-04,9.493337900134965826e-04,9.428048512820509219e-04,9.506733339203780799e-04,1.011189743900134646e-03
1.285909558626855504e-03,1.131791043886640029e-03,1.269985222476382753e-03,1.108112696933198508e-03,1.196473150202428818e-03,1.251951056912955097e-03,1.070514075671390435e-03,1.067381833238865985e-03,1.238378581373144336e-03,1.300571755509447903e-03,1.408861895735494425e-03,1.349504018485155532e-03,1.495659163272604949e-03,1.181392697634952704e-03,1.128112003893387691e-03,1.236937488414304462e-03,1.243545347570850336e-03,1.184050031390012627e-03,1.288815070951417063e-03,1.246359705307017052e-03,1.382102936487854348e-03,1.219014926417003476e-03,7.954600220411604805e-03,1.157103083684211074e-03,1.174171025215924079e-03,1.206251555300269724e-03,1.175460479213899815e-03,1.151867756008772507e-03,1.258218545924426725e-03,1.238145063282726239e-03,1.234364592604588178e-03,1.254869167560728350e-03
1.040161606983805616e-03,9.446574164608631963e-04,1.017271554757085469e-03,9.426819388967605864e-04,9.430786515317137516e-04,9.606689985020246863e-04,9.558486333097165454e-04,9.258516616093122537e-04,9.961397296761134203e-04,1.011640943255735304e-03,9.400564411808369665e-04,9.787074365350881267e-04,9.713600507287453115e-04,9.418061102732794418e-04,9.540122056578943192e-04,9.892194060829966051e-04,9.633122204251013711e-04,9.604456743353578276e-04,9.887528497064773485e-04,9.757493701147098610e-04,9.662411686336031284e-04,9.382017016430494859e-04,1.012657948110660868e-03,9.353674704925777229e-04,9.428661641497971570e-04,9.874761096086369892e-04,9.300173411639672989e-04,9.414500965249658973e-04,9.601041955836711475e-04,9.497294632759788451e-04,9.636929664844805970e-04,1.030168454881916131e-03
1.242393586039136980e-03,1.138922661528340031e-03,1.254844378107286985e-03,1.107902298154521056e-03,1.161392189767206529e-03,1.227000506622805348e-03,1.089647611541835846e-03,1.058161603593117499e-03,1.219769359355601370e-03,1.282030891565452083e-03,1.426303140357625121e-03,1.330183392803644185e-03,1.465094214588394481e-03,1.229720379183535384e-03,1.108017492324561313e-03,1.242765571670041442e-03,1.222652832446018221e-03,1.143199446501350341e-03,1.363806054051956013e-03,1.191420158026316100e-03,1.361759385755735227e-03,1.201100623815789473e-03,7.918128133805673111e-03,1.118902814456815536e-03,1.151677757678812308e-03,1.194829877550606517e-03,1.158906947125507491e-03,1.123246332766531614e-03,1.257969110904183247e-03,1.279637635435222805e-03,1.239056740799595593e-03,1.247616999983131459e-03
1.422544159018218277e-03,1.168832319325235599e-03,1.774912883920377448e-03,1.178704450168690555e-03,1.658968327290823597e-03,1.313890563228745176e-03,1.434355923593116922e-03,1.408228900040486668e-03,1.620799860401484892e-03,1.538595221858973924e-03,1.582234144153171675e-03,1.591807317169366713e-03,1.313696258751686358e-03,1.127083364895411924e-03,1.087162675721997478e-03,1.737819189507423681e-03,1.370614731558704273e-03,1.163564651096490703e-03,1.660836046460864189e-03,1.211319172250337238e-03,1.757556329331983521e-03,1.877308982213224658e-03,1.305385787338056783e-03,1.700389199746964045e-03,1.330911850236167222e-03,1.239414535951416591e-03,1.144574819028340140e-03,1.548427417584345364e-03,1.331611932871119668e-03,1.292679932246963356e-03,1.175218739784075588e-03,1.448956857088394123e-03
1.419497806423750726e-03,1.828839193043186760e-03,1.282548340337382083e-03,1.229670308674088658e-03,1.257608797911605181e-03,1.288944831228070083e-03,1.246605995226046561e-03,1.113062894733468904e-03,1.270466161433872823e-03,1.351801599399459018e-03,2.353551627688933549e-03,1.519027598299595464e-03,1.539243606052630641e-03,1.536473226255060482e-03,1.230657049156544305e-03,1.339870200617408486e-03,1.273898140782726059e-03,1.175854555985155533e-03,1.867530420431847381e-03,1.262980437004047451e-03,1.432264314591767933e-03,1.265471416197706291e-03,1.530163243002699222e-02,1.136771554541161000e-03,1.206849721791498171e-03,1.241417741761133720e-03,1.316368188319838725e-03,1.229155959477057272e-03,1.380826945199056322e-03,1.420207162172739800e-03,1.388182981066126082e-03,1.287791220853576465e-03
2.702269488829284975e-03,1.621735959804317855e-03,3.681898520033737281e-03,1.625604527675438178e-03,4.405807471190957211e-03,2.115749784875168866e-03,2.323317406754386773e-03,2.289332961592443517e-03,3.969129321666667320e-03,2.739683959989878091e-03,4.283863855748987898e-03,3.779715703822536608e-03,2.146836853923751644e-03,1.359018750978407096e-03,1.259757553448042841e-03,4.547231733677460468e-03,2.238984904433198760e-03,1.415097660543185613e-03,3.321163130539809237e-03,1.457482854844804714e-03,7.279597773195006782e-03,5.419051536221322803e-03,1.993642128721322127e-03,4.503251889105937093e-03,2.030229964493927147e-03,1.786381278259110278e-03,1.495835058647098509e-03,4.639469649311740891e-03,2.231457320053981206e-03,1.768038229537786119e-03,1.683933815094466836e-03,2.259836595880566554e-03
1.589781815374492931e-03,1.563518602014171656e-03,1.351282709662618041e-03,1.270696825856949645e-03,1.337532422486504549e-03,1.351895234139676057e-03,1.320632832591093694e-03,1.143593637803643707e-03,1.318306681342779930e-03,1.419518227429149770e-03,2.770377491653172250e-03,1.618907763832659174e-03,1.644454655796221201e-03,1.774927099122806462e-03,1.332822840313765186e-03,1.379771088839406006e-03,1.326964270276651892e-03,1.209947782297571620e-03,1.989948151831983682e-03,1.335624210364372288e-03,1.518853869099190314e-03,1.332227914190283651e-03,3.393981645590417318e-02,1.161823269949392896e-03,1.257966843805667168e-03,1.283640961946693696e-03,1.403795445435222994e-03,1.283902806363021887e-03,1.467254888525640084e-03,1.504908791673414438e-03,1.529656591572199544e-03,1.351792478046558166e-03
1.623323433313090570e-03,1.222302787607961903e-03,1.788466490887315446e-03,1.249358106106611670e-03,1.756441341329285661e-03,1.321487904230768916e-03,1.429595710323885950e-03,1.398765268876517569e-03,1.877030466437247351e-03,1.552056540360999227e-03,1.699489445371118014e-03,1.682384892941968940e-03,1.421718362469635887e-03,1.126041020742239458e-03,1.099436649746963340e-03,1.818862100597165229e-03,1.371395763252361132e-03,1.172160213248988128e-03,1.761209049348852820e-03,1.236337437837381481e-03,1.997928509443320805e-03,1.930903321990552800e-03,1.507848545145073615e-03,1.771240907803644420e-03,1.348176700755735532e-03,1.252182412604588638e-03,1.203531674817813479e-03,1.642459909908907311e-03,1.360917921427125254e-03,1.322598889979757558e-03,1.281419367989204000e-03,1.495841128431174257e-03
1.567771786221322343e-03,1.588601333036436785e-03,1.339489831754386417e-03,1.229638762530363633e-03,1.349951515016868837e-03,1.328174435229419453e-03,1.277356513832658604e-03,1.143750474558030044e-03,1.305027149949392149e-03,1.421287409473684154e-03,4.270507434730095447e-03,1.524767406410256149e-03,1.606953797422401055e-03,1.608673054692983349e-03,1.316227455782725472e-03,1.435099899537786716e-03,1.306779565738865794e-03,1.218061960519567846e-03,2.277712411261807474e-03,1.329573919072200416e-03,1.485836294912280288e-03,1.333857818522266817e-03,3.046828488434546317e-02,1.164430269655870268e-03,1.291944964402834666e-03,1.265684694709851921e-03,1.254760928171389520e-03,1.276669134146424028e-03,1.454428650381241932e-03,1.547876080786099711e-03,1.509377578424427610e-03,1.324986115941295195e-03
2.828589777344804688e-03,1.680236209008097170e-03,4.566250874676111918e-03,1.637149282489877913e-03,3.834967939767206652e-03,1.965430039811065250e-03,2.660340941261809134e-03,2.529136569426451275e-03,4.480714578734818973e-03,3.145747110721997496e-03,5.362267656754385672e-03,5.624879013744939378e-03,2.299243791379892467e-03,1.397864700087719748e-03,1.260274436943319663e-03,5.753466159281376766e-03,2.501528337736166549e-03,1.506580934335357766e-03,4.349516829477058540e-03,1.474630244031715186e-03,9.152504693488529297e-03,6.743543585374495684e-03,2.573227342837382595e-03,5.028162512105261057e-03,2.296156818606611902e-03,1.896520559271254805e-03,1.552883253930500019e-03,4.158541890158569225e-03,2.535618838215248846e-03,1.942569099699730569e-03,1.614505237263833600e-03,2.465041088950742018e-03
2.148782823858570029e-03,6.024981945575657270e-03,1.271943589808027493e-03,1.258275270529048053e-03,1.398813827297334857e-03,1.463949429199696162e-03,1.356154547644778741e-03,1.130387687418529493e-03,1.180110362405931276e-03,1.407132239766295100e-03,1.238162076950856394e-02,1.967975872003980588e-03,1.749655262953306398e-03,2.023337578601416397e-03,1.384945855320087165e-03,1.646411101448852325e-03,1.261967231079581375e-03,1.205860551896897545e-03,3.299823872451045775e-03,1.375123212057460364e-03,1.409057620526700354e-03,1.792992083431207235e-03,5.666526509970579717e-01,1.254828922951572740e-03,1.356436521473148010e-03,1.131732577057419304e-03,3.760597053820850626e-03,1.352473570638967372e-03,1.536949286831080282e-03,1.584227224030222876e-03,2.005761562236032906e-03,1.294578354340756394e-03
2.263386785870445152e-03,1.379664852945344192e-03,1.810477789716598979e-03,1.555696929338731046e-03,1.950665024207152640e-03,1.622073735512819838e-03,1.462153091514843553e-03,1.375430876005398397e-03,2.399526854426450948e-03,1.460311535745613398e-03,1.751471505975033460e-03,1.515087865775978284e-03,1.614711921076248270e-03,1.227391654126181158e-03,1.356573686241564249e-03,1.623811902823887009e-03,1.333254719986505608e-03,1.270163516815115161e-03,2.097569124841431112e-03,1.339195414723345565e-03,1.538056389304994376e-03,1.625574805941296195e-03,1.763385843502024647e-03,1.578505403033063099e-03,1.333249540715249377e-03,1.394096361153846029e-03,1.311566659483805793e-03,1.343628362034411487e-03,1.291020837813765341e-03,1.373882112651822213e-03,1.451300033137651463e-03,1.709383204021592889e-03
2.525368457961099655e-03,1.151421239251715009e-02,1.405635608902780541e-03,1.486499625524565372e-03,1.684387163914338563e-03,1.712181480788384702e-03,1.396140414735289655e-03,1.237673328208641153e-03,1.372983667594652882e-03,1.648307575172063954e-03,1.035045691417014156e-02,1.989200984364507870e-03,2.103171190535351853e-03,2.218082696362483428e-03,1.635267815756126638e-03,1.936025616967013575e-03,1.430030124453704607e-03,1.410263570595729227e-03,5.284551093768490547e-03,2.000146864407869023e-03,1.613520508935095254e-03,2.324862532352667613e-03,4.665759949013500441e-01,1.473191155623913493e-03,1.492848653958937311e-03,1.308898473092810549e-03,4.712204258597500403e-03,1.788855031233734134e-03,1.698117033298829261e-03,1.696773649486599863e-03,3.038713091940240321e-03,1.495372600429339081e-03
2.935135146602564464e-03,1.704428093660593623e-03,2.373441265340754582e-03,1.961412751349526917e-03,2.908745146464236046e-03,2.082652786049259044e-03,1.915770983674089031e-03,1.843084816710528241e-03,3.498854541794872448e-03,1.934348124338730731e-03,2.536898160762483291e-03,2.135002556062753562e-03,2.031084259348852131e-03,1.415409235526315750e-03,1.525647436174089235e-03,2.655298529493926949e-03,1.630384091521591000e-03,1.414075467982456704e-03,2.637381358906881919e-03,1.595108623532388945e-03,2.360624621228071124e-03,2.561072367267206405e-03,2.410351665873819004e-03,2.451143862931849920e-03,1.694873553289473001e-03,1.719008195941295475e-03,1.526881791201079811e-03,2.084198199278002733e-03,1.595184124308366910e-03,1.668639797031038147e-03,1.696966759406209847e-03,2.088851217402158851e-03
2.117156961301620583e-03,8.212424735832101266e-03,1.208552424730482012e-03,1.317778498052496298e-03,1.459585289204760189e-03,1.544820221496086363e-03,1.229975864914648487e-03,1.105326927297752915e-03,1.158413561012222853e-03,1.455618194599439964e-03,1.296697656735441503e-02,1.941525530122785014e-03,1.782536362976720658e-03,2.215015325186781448e-03,1.436086512170523487e-03,1.700960412990470006e-03,1.290025937560162084e-03,1.242103488180421478e-03,5.005608649718245283e-03,1.658944519631445381e-03,1.462074997152890913e-03,1.997922489697874331e-03,7.849389257028678291e-01,1.291101576529558479e-03,1.273286470272672576e-03,1.173866202822216459e-03,6.368844955084413707e-03,1.552830500467256448e-03,1.471739060220826926e-03,1.485538720254588399e-03,2.431840869147910110e-03,1.303942314356463811e-03
2.701161996346152817e-03,1.461652249237516176e-03,2.227851745870446012e-03,1.731977250735493561e-03,1.886780430600540261e-03,1.562463737580972040e-03,1.652754202297570391e-03,1.529950337925101069e-03,3.349311568195006451e-03,1.565112714035088448e-03,2.039522597199730416e-03,1.648992317118758068e-03,1.832089427442643416e-03,1.282373833181511043e-03,1.400000435091093565e-03,1.767503210175438381e-03,1.436163944288124106e-03,1.293558466275304165e-03,1.860710680580297208e-03,1.482708874294871859e-03,1.764089404682860508e-03,1.779552596535087169e-03,2.145686203532388373e-03,1.866268267354925011e-03,1.468140649075572960e-03,1.462882847085019734e-03,1.390011584483805997e-03,1.443341220576923808e-03,1.400386908390687316e-03,1.505627748758434428e-03,1.547862179008097300e-03,1.817296277871119706e-03
2.333151905915046426e-03,8.488215839378100355e-03,1.332116266212549777e-03,1.338167502960087990e-03,1.587691139733281385e-03,1.578096569632287923e-03,1.389181470604669783e-03,1.197583450499858232e-03,1.317495773931873573e-03,1.555696894391819362e-03,1.319847040324389001e-02,1.795419928184750335e-03,1.943578221872435414e-03,2.263348158537414629e-03,1.476362567371633343e-03,1.762573142501519400e-03,1.378054122162674809e-03,1.304944110372325368e-03,6.026102616989270633e-03,1.829514735307624434e-03,1.548875686835354554e-03,2.025052718882017558e-03,4.867315213212416447e-01,1.375621778247544365e-03,1.370830172302496455e-03,1.233055246205300983e-03,3.245408894488866196e-03,1.619645411780870972e-03,1.534687658848859874e-03,1.750081869121861838e-03,2.544153682143352607e-03,1.299461636127061202e-03
